A.L.E: Arcade Learning Environment (version 0.11.0+dfae0bd)
[Powered by Stella]
device : cuda
Episode 1 | Steps 138 | Return 0.0
Episode 2 | Steps 273 | Return 0.0
Episode 3 | Steps 436 | Return 1.0
Episode 4 | Steps 664 | Return 2.0
Episode 5 | Steps 802 | Return 0.0
Episode 6 | Steps 1038 | Return 2.0
Episode 7 | Steps 1165 | Return 0.0
Episode 8 | Steps 1300 | Return 0.0
Episode 9 | Steps 1528 | Return 3.0
Episode 10 | Steps 1681 | Return 1.0
Episode 11 | Steps 1876 | Return 1.0
Episode 12 | Steps 2067 | Return 1.0
Episode 13 | Steps 2199 | Return 0.0
Episode 14 | Steps 2397 | Return 1.0
Episode 15 | Steps 2581 | Return 1.0
Episode 16 | Steps 2735 | Return 1.0
Episode 17 | Steps 2899 | Return 1.0
Episode 18 | Steps 3034 | Return 0.0
Episode 19 | Steps 3161 | Return 0.0
Episode 20 | Steps 3308 | Return 0.0
Episode 21 | Steps 3670 | Return 5.0
Episode 22 | Steps 3815 | Return 0.0
Episode 23 | Steps 4001 | Return 1.0
Episode 24 | Steps 4180 | Return 1.0
Episode 25 | Steps 4354 | Return 1.0
Episode 26 | Steps 4513 | Return 0.0
Episode 27 | Steps 4806 | Return 4.0
Episode 28 | Steps 5034 | Return 3.0
Episode 29 | Steps 5166 | Return 0.0
Episode 30 | Steps 5295 | Return 0.0
Episode 31 | Steps 5449 | Return 1.0
Episode 32 | Steps 5590 | Return 0.0
Episode 33 | Steps 5829 | Return 2.0
Episode 34 | Steps 5968 | Return 0.0
Episode 35 | Steps 6225 | Return 3.0
Episode 36 | Steps 6366 | Return 0.0
Episode 37 | Steps 6599 | Return 2.0
Episode 38 | Steps 6844 | Return 4.0
Episode 39 | Steps 7022 | Return 1.0
Episode 40 | Steps 7179 | Return 1.0
Episode 41 | Steps 7423 | Return 3.0
Episode 42 | Steps 7642 | Return 2.0
Episode 43 | Steps 7813 | Return 1.0
Episode 44 | Steps 7969 | Return 1.0
Episode 45 | Steps 8126 | Return 1.0
Episode 46 | Steps 8439 | Return 5.0
Episode 47 | Steps 8572 | Return 0.0
Episode 48 | Steps 8709 | Return 0.0
Episode 49 | Steps 8848 | Return 0.0
Episode 50 | Steps 8990 | Return 0.0
Episode 51 | Steps 9193 | Return 2.0
Episode 52 | Steps 9431 | Return 3.0
Episode 53 | Steps 9664 | Return 2.0
Episode 54 | Steps 9882 | Return 2.0
Step 10000: epsilon = 0.964
Episode 55 | Steps 10065 | Return 2.0
Episode 56 | Steps 10261 | Return 2.0
Episode 57 | Steps 10521 | Return 3.0
Episode 58 | Steps 10690 | Return 1.0
Episode 59 | Steps 10938 | Return 3.0
Episode 60 | Steps 11157 | Return 2.0
Episode 61 | Steps 11499 | Return 6.0
Episode 62 | Steps 11678 | Return 2.0
Episode 63 | Steps 11939 | Return 3.0
Episode 64 | Steps 12114 | Return 1.0
Episode 65 | Steps 12374 | Return 4.0
Episode 66 | Steps 12521 | Return 0.0
Episode 67 | Steps 12868 | Return 5.0
Episode 68 | Steps 13065 | Return 1.0
Episode 69 | Steps 13231 | Return 1.0
Episode 70 | Steps 13374 | Return 0.0
Episode 71 | Steps 13558 | Return 1.0
Episode 72 | Steps 13811 | Return 3.0
Episode 73 | Steps 14025 | Return 2.0
Episode 74 | Steps 14344 | Return 5.0
Episode 75 | Steps 14469 | Return 0.0
Episode 76 | Steps 14670 | Return 2.0
Episode 77 | Steps 14860 | Return 1.0
Episode 78 | Steps 15113 | Return 3.0
Episode 79 | Steps 15294 | Return 1.0
Episode 80 | Steps 15451 | Return 1.0
Episode 81 | Steps 15582 | Return 0.0
Episode 82 | Steps 15718 | Return 0.0
Episode 83 | Steps 16032 | Return 4.0
Episode 84 | Steps 16186 | Return 0.0
Episode 85 | Steps 16409 | Return 2.0
Episode 86 | Steps 16541 | Return 0.0
Episode 87 | Steps 16772 | Return 3.0
Episode 88 | Steps 16906 | Return 0.0
Episode 89 | Steps 17034 | Return 0.0
Episode 90 | Steps 17239 | Return 2.0
Episode 91 | Steps 17416 | Return 1.0
Episode 92 | Steps 17552 | Return 0.0
Episode 93 | Steps 17710 | Return 1.0
Episode 94 | Steps 17839 | Return 0.0
Episode 95 | Steps 18023 | Return 1.0
Episode 96 | Steps 18256 | Return 2.0
Episode 97 | Steps 18431 | Return 1.0
Episode 98 | Steps 18606 | Return 1.0
Episode 99 | Steps 18932 | Return 5.0
Episode 100 | Steps 19063 | Return 0.0
Episode 101 | Steps 19254 | Return 2.0
Episode 102 | Steps 19466 | Return 2.0
Episode 103 | Steps 19628 | Return 1.0
Episode 104 | Steps 19768 | Return 0.0
Episode 105 | Steps 19970 | Return 2.0
Step 20000: epsilon = 0.928
Episode 106 | Steps 20123 | Return 1.0
Episode 107 | Steps 20297 | Return 1.0
Episode 108 | Steps 20420 | Return 0.0
Episode 109 | Steps 20628 | Return 2.0
Episode 110 | Steps 20759 | Return 0.0
Episode 111 | Steps 20892 | Return 0.0
Episode 112 | Steps 21104 | Return 2.0
Episode 113 | Steps 21260 | Return 1.0
Episode 114 | Steps 21517 | Return 3.0
Episode 115 | Steps 21640 | Return 0.0
Episode 116 | Steps 21796 | Return 1.0
Episode 117 | Steps 21925 | Return 0.0
Episode 118 | Steps 22081 | Return 1.0
Episode 119 | Steps 22304 | Return 2.0
Episode 120 | Steps 22464 | Return 1.0
Episode 121 | Steps 22676 | Return 2.0
Episode 122 | Steps 22944 | Return 4.0
Episode 123 | Steps 23143 | Return 2.0
Episode 124 | Steps 23319 | Return 1.0
Episode 125 | Steps 23522 | Return 2.0
Episode 126 | Steps 23679 | Return 1.0
Episode 127 | Steps 23927 | Return 3.0
Episode 128 | Steps 24061 | Return 0.0
Episode 129 | Steps 24324 | Return 4.0
Episode 130 | Steps 24526 | Return 2.0
Episode 131 | Steps 24746 | Return 2.0
Episode 132 | Steps 24879 | Return 0.0
Episode 133 | Steps 25111 | Return 3.0
Episode 134 | Steps 25240 | Return 0.0
Episode 135 | Steps 25371 | Return 0.0
Episode 136 | Steps 25699 | Return 4.0
Episode 137 | Steps 25824 | Return 0.0
Episode 138 | Steps 26000 | Return 1.0
Episode 139 | Steps 26204 | Return 2.0
Episode 140 | Steps 26332 | Return 0.0
Episode 141 | Steps 26491 | Return 1.0
Episode 142 | Steps 26648 | Return 1.0
Episode 143 | Steps 26825 | Return 1.0
Episode 144 | Steps 27038 | Return 2.0
Episode 145 | Steps 27178 | Return 0.0
Episode 146 | Steps 27356 | Return 1.0
Episode 147 | Steps 27515 | Return 1.0
Episode 148 | Steps 27713 | Return 2.0
Episode 149 | Steps 27911 | Return 2.0
Episode 150 | Steps 28094 | Return 1.0
Episode 151 | Steps 28348 | Return 4.0
Episode 152 | Steps 28534 | Return 1.0
Episode 153 | Steps 28767 | Return 3.0
Episode 154 | Steps 28963 | Return 1.0
Episode 155 | Steps 29144 | Return 1.0
Episode 156 | Steps 29383 | Return 2.0
Episode 157 | Steps 29567 | Return 1.0
Episode 158 | Steps 29812 | Return 3.0
Step 30000: epsilon = 0.892
Episode 159 | Steps 30080 | Return 3.0
Episode 160 | Steps 30213 | Return 0.0
Episode 161 | Steps 30392 | Return 1.0
Episode 162 | Steps 30551 | Return 1.0
Episode 163 | Steps 30754 | Return 2.0
Episode 164 | Steps 30985 | Return 3.0
Episode 165 | Steps 31109 | Return 0.0
Episode 166 | Steps 31238 | Return 0.0
Episode 167 | Steps 31367 | Return 0.0
Episode 168 | Steps 31551 | Return 2.0
Episode 169 | Steps 31842 | Return 4.0
Episode 170 | Steps 32043 | Return 2.0
Episode 171 | Steps 32177 | Return 0.0
Episode 172 | Steps 32625 | Return 10.0
Episode 173 | Steps 32854 | Return 3.0
Episode 174 | Steps 33076 | Return 3.0
Episode 175 | Steps 33277 | Return 2.0
Episode 176 | Steps 33489 | Return 2.0
Episode 177 | Steps 33661 | Return 1.0
Episode 178 | Steps 33815 | Return 1.0
Episode 179 | Steps 34018 | Return 2.0
Episode 180 | Steps 34171 | Return 1.0
Episode 181 | Steps 34449 | Return 4.0
Episode 182 | Steps 34635 | Return 2.0
Episode 183 | Steps 34794 | Return 1.0
Episode 184 | Steps 34928 | Return 0.0
Episode 185 | Steps 35057 | Return 0.0
Episode 186 | Steps 35186 | Return 0.0
Episode 187 | Steps 35393 | Return 2.0
